category,subject,day,start_period,end_period,start_time,end_time,room
전공,인문 콘텐츠의 이해,목,1,3,09:00,12:00,수205
전공,응용국어학의 이해,수,4,6,12:00,15:00,성704
전공,구비문학의 이해,화,1,3,09:00,12:00,수408
전공,현대문학사,월,4,6,12:00,15:00,성712
전공,고전문학사,화,4,6,12:00,15:00,성301
전공,현대문학 명작읽기,화,7,9,15:00,18:00,성712
전공,의사소통교육론,월,4,6,12:00,15:00,수204-1
전공,K-콘텐츠 서사 읽기,목,7,9,15:00,18:00,수C-615
전공,글로벌시대의 한국어,목,4,6,12:00,15:00,성310
전공,고전소설의 이해,수,4,6,12:00,15:00,수204-1
전공,현대문학 창작론,화,4,6,12:00,15:00,성712
전공,시조와 가사의 세계,수,7,9,15:00,18:00,수327
전공,국어사,월,7,9,15:00,18:00,성213
전공,국어 교과교재연구 및 지도법,목,4,6,12:00,15:00,수C-844
전공,한국어 음운론,월,4,6,12:00,15:00,성213
전공,현대문학특강,화,7,9,15:00,18:00,난702
전공,한글이 걸어온 길,화,4,6,12:00,15:00,수204-1
전공,한국어정보처리,목,7,9,15:00,18:00,수214
전공,통역입문,화,1,3,09:00,12:00,성302
전공,영문학개론,목,4,6,12:00,15:00,성701
전공,미디어를 통한 영문법,화,7,9,15:00,18:00,성710
전공,미디어영문학,화,4,6,12:00,15:00,수413
전공,영어 읽기와 쓰기,화,7,9,15:00,18:00,성309
전공,영어 읽기와 쓰기,수,4,6,12:00,15:00,성309
전공,에세이와 국제사회,월,4,6,12:00,15:00,수413
전공,영어음성음운론,수,7,9,15:00,18:00,수203
전공,SF문학으로 보는 미국문화,월,7,9,15:00,18:00,수C-615
전공,외국어 교과교재연구 및 지도법(서양권),수,7,9,15:00,18:00,성607
전공,비즈니스 영어,화,1,3,09:00,12:00,수222
전공,비즈니스 영어,목,1,3,09:00,12:00,수214
전공,영화로 읽는 영국소설,목,4,6,12:00,15:00,성710
전공,보이스 분석,월,4,6,12:00,15:00,nan
전공,영미아동문학,목,7,9,15:00,18:00,성701
