timestamp,pir1,pir2,ultra1_dist,ultra2_dist,ultra1_detect,ultra2_detect,status,hour,minute,day_of_week,day_name,date,status_kor
2026-06-05 17:43:00,1.0,0.0,1.51,1.48,detect,detect,Normal,17,43,4,Friday,2026-06-05,혼잡
2026-06-05 17:45:00,1.0,0.0,3.15,167.93,detect,none,Normal,17,45,4,Friday,2026-06-05,보통
2026-06-05 17:46:00,1.0,0.0,1.04,161.4,detect,none,Normal,17,46,4,Friday,2026-06-05,보통
2026-06-05 17:47:00,1.0,0.0,141.68,156.4,none,none,Not crowded,17,47,4,Friday,2026-06-05,보통
2026-06-05 17:51:00,1.0,0.0,3.04,156.2,detect,none,Normal,17,51,4,Friday,2026-06-05,보통
2026-06-05 17:52:00,1.0,0.0,1.17,158.32,detect,none,Normal,17,52,4,Friday,2026-06-05,보통
2026-06-05 17:57:00,1.0,0.0,1.19,160.89,detect,none,Normal,17,57,4,Friday,2026-06-05,보통
2026-06-05 17:58:00,1.0,0.0,1.24,156.32,detect,none,Normal,17,58,4,Friday,2026-06-05,보통
2026-06-05 18:00:00,1.0,0.0,1.26,154.6,detect,none,Normal,18,0,4,Friday,2026-06-05,보통
2026-06-05 18:00:00,1.0,0.0,1.07,151.54,detect,none,Normal,18,0,4,Friday,2026-06-05,보통
2026-06-05 18:01:00,1.0,0.0,1.41,159.73,detect,none,Normal,18,1,4,Friday,2026-06-05,보통
2026-06-05 18:02:00,1.0,0.0,1.22,154.72,detect,none,Normal,18,2,4,Friday,2026-06-05,보통
2026-06-05 18:02:00,1.0,0.0,1.07,1.11,detect,detect,Normal,18,2,4,Friday,2026-06-05,혼잡
2026-06-05 18:04:00,1.0,0.0,1.04,156.42,detect,none,Normal,18,4,4,Friday,2026-06-05,보통
2026-06-05 18:05:00,1.0,0.0,1.39,159.55,detect,none,Normal,18,5,4,Friday,2026-06-05,보통
2026-06-05 18:05:00,1.0,0.0,1.43,156.52,detect,none,Normal,18,5,4,Friday,2026-06-05,보통
2026-06-05 18:06:00,1.0,0.0,1.58,157.71,detect,none,Normal,18,6,4,Friday,2026-06-05,보통
2026-06-05 18:06:00,1.0,0.0,141.3,160.6,none,none,Not crowded,18,6,4,Friday,2026-06-05,보통
2026-06-05 18:11:00,1.0,0.0,1.31,164.34,detect,none,Normal,18,11,4,Friday,2026-06-05,보통
2026-06-05 18:11:00,1.0,0.0,1.11,161.36,detect,none,Normal,18,11,4,Friday,2026-06-05,보통
2026-06-05 18:12:00,1.0,0.0,1.58,159.68,detect,none,Normal,18,12,4,Friday,2026-06-05,보통
2026-06-05 18:13:00,1.0,0.0,1.11,159.92,detect,none,Normal,18,13,4,Friday,2026-06-05,보통
2026-06-05 18:13:00,1.0,0.0,1.21,137.8,detect,none,Normal,18,13,4,Friday,2026-06-05,보통
2026-06-05 18:15:00,0.0,0.0,141.17,153.7,none,none,Not crowded,18,15,4,Friday,2026-06-05,여유
2026-06-05 18:15:00,0.0,0.0,141.98,154.73,none,none,Not crowded,18,15,4,Friday,2026-06-05,여유
2026-06-05 18:16:00,0.0,0.0,142.17,15.9,none,detect,Not crowded,18,16,4,Friday,2026-06-05,보통
2026-06-05 18:16:00,1.0,0.0,141.49,91.15,none,detect,Normal,18,16,4,Friday,2026-06-05,보통
2026-06-05 18:17:00,1.0,0.0,1.46,166.24,detect,none,Normal,18,17,4,Friday,2026-06-05,보통
2026-06-05 18:17:00,1.0,0.0,1.12,166.21,detect,none,Normal,18,17,4,Friday,2026-06-05,보통
2026-06-05 18:20:00,1.0,0.0,1.45,155.3,detect,none,Normal,18,20,4,Friday,2026-06-05,보통
2026-06-05 18:23:00,1.0,0.0,1.02,162.74,detect,none,Normal,18,23,4,Friday,2026-06-05,보통
2026-06-05 18:29:00,1.0,0.0,1.5,154.65,detect,none,Normal,18,29,4,Friday,2026-06-05,보통
2026-06-05 18:30:00,1.0,0.0,1.11,149.28,detect,none,Normal,18,30,4,Friday,2026-06-05,보통
2026-06-05 18:31:00,0.0,0.0,142.85,160.14,none,none,Not crowded,18,31,4,Friday,2026-06-05,여유
2026-06-05 18:32:00,0.0,0.0,142.32,97.85,none,detect,Not crowded,18,32,4,Friday,2026-06-05,보통
2026-06-05 18:35:00,1.0,0.0,1.22,119.05,detect,none,Normal,18,35,4,Friday,2026-06-05,혼잡
2026-06-05 18:35:00,1.0,0.0,1.17,142.85,detect,none,Normal,18,35,4,Friday,2026-06-05,보통
2026-06-05 18:36:00,1.0,0.0,1.39,105.52,detect,none,Normal,18,36,4,Friday,2026-06-05,혼잡
2026-06-05 18:37:00,1.0,0.0,1.48,60.33,detect,detect,Normal,18,37,4,Friday,2026-06-05,혼잡
2026-06-05 18:37:00,1.0,0.0,1.48,17.78,detect,detect,Normal,18,37,4,Friday,2026-06-05,혼잡
2026-06-05 18:38:00,1.0,0.0,140.86,58.91,none,detect,Normal,18,38,4,Friday,2026-06-05,보통
2026-06-05 18:42:00,1.0,0.0,1.17,161.53,detect,none,Normal,18,42,4,Friday,2026-06-05,보통
2026-06-05 18:43:00,1.0,0.0,1.51,147.95,detect,none,Normal,18,43,4,Friday,2026-06-05,보통
2026-06-05 18:43:00,1.0,0.0,1.34,154.96,detect,none,Normal,18,43,4,Friday,2026-06-05,보통
2026-06-05 18:44:00,1.0,0.0,1.09,158.15,detect,none,Normal,18,44,4,Friday,2026-06-05,보통
2026-06-05 18:45:00,1.0,0.0,141.83,79.2,none,detect,Normal,18,45,4,Friday,2026-06-05,보통
2026-06-05 18:51:00,0.0,0.0,1.58,17.75,detect,detect,Not crowded,18,51,4,Friday,2026-06-05,혼잡
2026-06-05 18:53:00,1.0,0.0,1.14,23.34,detect,detect,Normal,18,53,4,Friday,2026-06-05,혼잡
2026-06-05 18:53:00,1.0,0.0,1.24,55.45,detect,detect,Normal,18,53,4,Friday,2026-06-05,혼잡
2026-06-05 18:54:00,1.0,0.0,1.39,157.4,detect,none,Normal,18,54,4,Friday,2026-06-05,보통
2026-06-05 18:55:00,1.0,0.0,141.71,76.84,none,detect,Normal,18,55,4,Friday,2026-06-05,보통
2026-06-05 18:56:00,1.0,0.0,141.53,56.07,none,detect,Normal,18,56,4,Friday,2026-06-05,보통
2026-06-05 18:56:00,1.0,0.0,141.42,71.33,none,detect,Normal,18,56,4,Friday,2026-06-05,보통
2026-06-05 18:57:00,1.0,0.0,1.14,53.67,detect,detect,Normal,18,57,4,Friday,2026-06-05,혼잡
2026-06-05 18:58:00,1.0,0.0,1.62,76.89,detect,detect,Normal,18,58,4,Friday,2026-06-05,혼잡
2026-06-05 19:00:00,1.0,0.0,1.11,8.96,detect,detect,Normal,19,0,4,Friday,2026-06-05,혼잡
2026-06-05 19:03:00,1.0,0.0,1.48,2.33,detect,detect,Normal,19,3,4,Friday,2026-06-05,혼잡
2026-06-05 19:05:00,1.0,0.0,1.33,161.36,detect,none,Normal,19,5,4,Friday,2026-06-05,보통
2026-06-05 19:06:00,1.0,0.0,1.48,167.69,detect,none,Normal,19,6,4,Friday,2026-06-05,보통
2026-06-05 19:06:00,1.0,0.0,142.14,132.52,none,none,Not crowded,19,6,4,Friday,2026-06-05,보통
2026-06-05 19:07:00,0.0,0.0,142.1,156.35,none,none,Not crowded,19,7,4,Friday,2026-06-05,여유
2026-06-05 19:07:00,0.0,0.0,141.71,156.28,none,none,Not crowded,19,7,4,Friday,2026-06-05,여유
2026-06-05 19:08:00,0.0,0.0,141.78,155.98,none,none,Not crowded,19,8,4,Friday,2026-06-05,여유
2026-06-05 19:08:00,0.0,0.0,141.22,154.73,none,none,Not crowded,19,8,4,Friday,2026-06-05,여유
2026-06-05 19:09:00,0.0,0.0,141.49,76.26,none,detect,Not crowded,19,9,4,Friday,2026-06-05,보통
2026-06-05 19:09:00,0.0,0.0,141.47,56.19,none,detect,Not crowded,19,9,4,Friday,2026-06-05,보통
2026-06-05 19:10:00,0.0,0.0,141.27,153.1,none,none,Not crowded,19,10,4,Friday,2026-06-05,여유
2026-06-05 19:11:00,0.0,0.0,141.93,155.58,none,none,Not crowded,19,11,4,Friday,2026-06-05,여유
2026-06-05 19:11:00,0.0,0.0,142.27,159.19,none,none,Not crowded,19,11,4,Friday,2026-06-05,여유
2026-06-05 19:12:00,0.0,0.0,141.47,125.95,none,none,Not crowded,19,12,4,Friday,2026-06-05,여유
2026-06-05 19:13:00,0.0,0.0,141.17,90.37,none,detect,Not crowded,19,13,4,Friday,2026-06-05,보통
2026-06-05 19:14:00,1.0,0.0,1.46,5.76,detect,detect,Normal,19,14,4,Friday,2026-06-05,혼잡
2026-06-05 19:16:00,1.0,0.0,1.38,151.18,detect,none,Normal,19,16,4,Friday,2026-06-05,보통
2026-06-05 19:17:00,1.0,0.0,1.33,154.7,detect,none,Normal,19,17,4,Friday,2026-06-05,보통
2026-06-05 19:18:00,1.0,0.0,1.62,1.46,detect,detect,Normal,19,18,4,Friday,2026-06-05,혼잡
2026-06-05 19:22:00,0.0,0.0,142.0,2.04,none,detect,Not crowded,19,22,4,Friday,2026-06-05,보통
2026-06-05 19:22:00,1.0,0.0,142.22,58.21,none,detect,Normal,19,22,4,Friday,2026-06-05,보통
2026-06-05 19:26:00,1.0,0.0,1.51,98.82,detect,detect,Normal,19,26,4,Friday,2026-06-05,혼잡
2026-06-05 19:27:00,1.0,0.0,1.22,2.16,detect,detect,Normal,19,27,4,Friday,2026-06-05,혼잡
2026-06-05 19:28:00,1.0,0.0,1.38,5.66,detect,detect,Normal,19,28,4,Friday,2026-06-05,혼잡
2026-06-05 19:31:00,1.0,0.0,1.56,61.97,detect,detect,Normal,19,31,4,Friday,2026-06-05,혼잡
2026-06-05 19:32:00,1.0,0.0,1.0,57.94,detect,detect,Normal,19,32,4,Friday,2026-06-05,혼잡
2026-06-05 19:32:00,1.0,0.0,1.02,75.24,detect,detect,Normal,19,32,4,Friday,2026-06-05,혼잡
2026-06-05 19:34:00,1.0,0.0,1.07,100.73,detect,none,Normal,19,34,4,Friday,2026-06-05,혼잡
2026-06-05 19:34:00,1.0,0.0,1.09,77.52,detect,detect,Normal,19,34,4,Friday,2026-06-05,혼잡
2026-06-05 19:35:00,1.0,0.0,1.11,70.09,detect,detect,Normal,19,35,4,Friday,2026-06-05,혼잡
2026-06-05 19:35:00,1.0,0.0,1.28,68.58,detect,detect,Normal,19,35,4,Friday,2026-06-05,혼잡
2026-06-05 19:36:00,1.0,0.0,1.46,53.72,detect,detect,Normal,19,36,4,Friday,2026-06-05,혼잡
2026-06-05 19:36:00,1.0,0.0,140.66,22.44,none,detect,Normal,19,36,4,Friday,2026-06-05,보통
